frame,class_id,class_name,confidence,x1,y1,x2,y2
357,5,speedboat,0.7258,0.2,225.0,73.2,311.8
358,5,speedboat,0.8664,1152.1,350.3,1289.6,420.1
358,5,speedboat,0.7145,0.1,222.4,81.2,312.2
359,5,speedboat,0.8611,1155.9,348.7,1294.0,420.4
360,5,speedboat,0.8789,1158.1,348.6,1295.3,420.4
361,5,speedboat,0.8788,1158.1,348.6,1295.4,420.4
362,5,speedboat,0.8815,1160.4,348.0,1298.5,420.3
362,5,speedboat,0.7548,0.0,217.2,93.1,308.1
363,5,speedboat,0.8791,1162.1,349.2,1301.7,420.0
363,5,speedboat,0.8047,0.0,217.5,100.3,308.1
364,5,speedboat,0.8743,1169.3,348.4,1307.5,421.6
364,5,speedboat,0.8115,0.3,221.5,98.1,305.9
365,5,speedboat,0.8771,1172.7,348.5,1312.1,420.3
365,5,speedboat,0.7969,0.5,219.9,101.1,306.3
366,5,speedboat,0.8768,1172.7,348.5,1312.1,420.3
366,5,speedboat,0.7958,0.5,219.9,101.1,306.3
367,5,speedboat,0.8815,1174.8,348.0,1313.7,418.8
367,5,speedboat,0.8308,0.4,218.4,103.8,305.0
368,5,speedboat,0.882,1179.0,348.2,1318.9,419.4
368,5,speedboat,0.8671,1.1,217.7,109.5,303.9
369,5,speedboat,0.8858,1182.3,346.7,1322.1,420.2
369,5,speedboat,0.8459,2.5,213.8,107.3,301.2
370,5,speedboat,0.8893,1.9,210.5,112.5,299.8
370,5,speedboat,0.8666,1183.8,345.8,1325.7,420.2
371,5,speedboat,0.8893,1.9,210.5,112.6,299.8
371,5,speedboat,0.8669,1183.8,345.8,1325.7,420.2
372,5,speedboat,0.8791,2.1,213.2,116.6,299.9
372,5,speedboat,0.8626,1188.6,345.6,1328.8,419.5
373,5,speedboat,0.889,2.3,210.1,121.5,302.2
373,5,speedboat,0.8803,1192.5,345.0,1332.4,421.2
374,5,speedboat,0.893,1197.7,345.5,1336.4,420.2
374,5,speedboat,0.8807,2.6,210.0,126.2,300.9
375,5,speedboat,0.8906,1200.9,345.2,1339.8,417.9
375,5,speedboat,0.85,2.3,209.7,132.8,299.2
376,5,speedboat,0.8909,1201.0,345.2,1339.9,417.9
376,5,speedboat,0.8489,2.3,209.7,132.8,299.2
377,5,speedboat,0.86,1205.4,344.8,1345.0,417.4
377,5,speedboat,0.823,2.9,209.3,135.4,300.5
378,5,speedboat,0.8903,1207.5,344.3,1347.5,417.3
378,5,speedboat,0.8622,4.2,209.4,141.2,299.5
379,5,speedboat,0.8929,1209.3,344.1,1352.2,417.4
379,5,speedboat,0.8691,6.0,208.0,147.1,298.4
380,5,speedboat,0.8868,1216.3,344.3,1358.7,415.6
380,5,speedboat,0.8615,6.8,206.6,146.4,298.5
381,5,speedboat,0.8871,1216.4,344.3,1358.7,415.6
